X,Y,Z
1044650.767,1413287.866,0
1044650.791,1413287.839,72
1044650.862,1413287.756,144
1044651.053,1413287.553,292
1044651.234,1413287.397,440
1044651.419,1413287.337,593.3333333
1044651.609,1413287.432,746.6666667
1044651.805,1413287.683,900
1044651.815,1413287.702,915
1044651.806,1413287.694,930
1044651.744,1413287.632,993.3333333
1044651.718,1413287.621,1056.666667
1044651.725,1413287.661,1120
1044651.746,1413287.709,1167
1044651.774,1413287.753,1214
1044651.823,1413287.801,1260.5
1044651.911,1413287.857,1307
1044652.016,1413287.916,1353.5
1044652.117,1413287.971,1400
1044652.207,1413288.024,1446
1044652.281,1413288.079,1492
1044652.343,1413288.135,1539
1044652.389,1413288.186,1586
1044652.446,1413288.253,1617.333333
1044652.566,1413288.39,1648.666667
1044652.747,1413288.597,1680
1044652.995,1413288.879,1711.333333
1044653.315,1413289.241,1742.666667
1044653.706,1413289.684,1774
1044654.352,1413290.442,1821
1044655.012,1413291.267,1868
1044655.693,1413292.122,1915
1044656.403,1413292.972,1962
1044656.909,1413293.565,1993.666667
1044657.449,1413294.206,2025.333333
1044658.025,1413294.892,2057
1044658.629,1413295.618,2088
1044659.281,1413296.404,2119
1044659.982,1413297.25,2150
1044660.75,1413298.135,2181.333333
1044661.59,1413299.018,2212.666667
1044662.502,1413299.9,2244
1044663.494,1413300.809,2275.666667
1044664.553,1413301.753,2307.333333
1044665.679,1413302.733,2339
1044667.387,1413304.245,2386
1044669.069,1413305.819,2433
1044670.22,1413306.918,2464.333333
1044671.448,1413308.076,2495.666667
1044672.753,1413309.293,2527
1044674.133,1413310.554,2558.333333
1044675.584,1413311.844,2589.666667
1044677.107,1413313.164,2621
1044678.695,1413314.496,2652
1044680.374,1413315.851,2683
1044682.143,1413317.228,2714
1044684.034,1413318.676,2745.666667
1044686.002,1413320.183,2777.333333
1044688.046,1413321.749,2809
1044690.127,1413323.377,2840.333333
1044692.248,1413325.103,2871.666667
1044694.409,1413326.927,2903
1044696.587,1413328.801,2934
1044698.802,1413330.717,2965
1044701.055,1413332.676,2996
1044704.507,1413335.667,3043
1044707.972,1413338.634,3090
1044711.451,1413341.554,3137
1044714.942,1413344.403,3184
1044718.447,1413347.178,3231
1044721.965,1413349.875,3278
1044724.299,1413351.677,3309.333333
1044726.6,1413353.541,3340.666667
1044728.867,1413355.465,3372
1044731.125,1413357.441,3403.333333
1044733.395,1413359.459,3434.666667
1044735.678,1413361.518,3466
1044739.109,1413364.607,3513
1044742.532,1413367.634,3560
1044744.839,1413369.624,3591.666667
1044747.152,1413371.555,3623.333333
1044749.471,1413373.428,3655
1044751.77,1413375.28,3686.333333
1044754.071,1413377.19,3717.666667
1044756.374,1413379.157,3749
1044758.655,1413381.109,3780
1044760.941,1413383.017,3811
1044763.231,1413384.881,3842
1044766.68,1413387.711,3889
1044770.078,1413390.619,3936
1044772.365,1413392.619,3967.666667
1044774.685,1413394.653,3999.333333
1044777.037,1413396.719,4031
1044779.515,1413398.929,4064
1044782.011,1413401.218,4097
1044784.527,1413403.585,4130
1044790.093,1413408.849,4202.5
1044795.699,1413414.066,4275
1044798.157,1413416.307,4306.666667
1044800.617,1413418.496,4338.333333
1044803.079,1413420.632,4370
1044806.781,1413423.75,4417.5
1044810.498,1413426.778,4465
1044812.952,1413428.765,4496.666667
1044815.352,1413430.748,4528.333333
1044817.697,1413432.728,4560
1044819.992,1413434.629,4591.333333
1044822.288,1413436.418,4622.666667
1044824.587,1413438.095,4654
1044827.586,1413440.174,4695
1044830.564,1413442.173,4736
1044832.873,1413443.676,4768
1044835.167,1413445.131,4800
